"action","amendmentIndicator","assetClass","blockTradeIndicator","cleared","coupon","customBasketIndicator","deliveryType","disseminationIdentifier","disseminationTimestamp","effectiveDate","embeddedOptionType","event","eventDateTime","exchangeRate","exchangeRateBasis","executionDateTime","expirationDate","firstExerciseDate","futureValueNotional","indexFactor","instrumentType","leg1CallAmount","leg1CallCurrency","leg1CommodityDesc","leg1EffectiveNotionalAmount","leg1FixedRate","leg1FixedRateDayCount","leg1FixedRatePaymentFrequencyMultiplier","leg1FixedRatePaymentFrequencyPeriod","leg1FloatingRateDayCount","leg1FloatingRatePaymentFrequencyMultiplier","leg1FloatingRatePaymentFrequencyPeriod","leg1NotionalAmount","leg1NotionalCurrency","leg1NotionalEffectiveDate","leg1NotionalEndDate","leg1NotionalQuantity","leg1NotionalScheduleType","leg1PhysicalDeliveryLocation","leg1PhysicalDeliveryRegion","leg1PricingIndexLocation","leg1PricingIndexRegion","leg1PutAmount","leg1PutCurrency","leg1QuantityFrequencyMultiplier","leg1QuantityUnit","leg1ResetFrequencyMultiplier","leg1SettlementCurrency","leg1SettlementLocation","leg1Spread","leg1SpreadCurrency","leg1SpreadNotation","leg1TotalNotionalQuantity","leg1UnderlierCurrency","leg1UnderlierID","leg1UnderlierIDSource","leg1UnderlierTenorMultiplier","leg1UnderlierTenorPeriod","leg1UnderlyingAssetOrContractSubType","leg1UnderlyingAssetOrContractType","leg2CallAmount","leg2CallCurrency","leg2CommodityDesc","leg2EffectiveNotionalAmount","leg2FixedRateDayCount","leg2FixedRatePaymentFrequencyMultiplier","leg2FixedRatePaymentFrequencyPeriod","leg2FloatingRateDayCount","leg2FloatingRatePaymentFrequencyMultiplier","leg2FloatingRatePaymentFrequencyPeriod","leg2NotionalAmount","leg2NotionalCurrency","leg2NotionalEffectiveDate","leg2NotionalEndDate","leg2NotionalQuantity","leg2NotionalScheduleType","leg2PhysicalDeliveryLocation","leg2PhysicalDeliveryRegion","leg2PricingIndexLocation","leg2PricingIndexRegion","leg2PutAmount","leg2PutCurrency","leg2QuantityFrequencyMultiplier","leg2QuantityFrequencyPeriod","leg2QuantityUnit","leg2ResetFrequencyMultiplier","leg2SettlementCurrency","leg2SettlementLocation","leg2Spread","leg2SpreadCurrency","leg2SpreadNotation","leg2TotalNotionalQuantity","leg2UnderlierCurrency","leg2UnderlierID","leg2UnderlierIDSource","leg2UnderlierTenorMultiplier","leg2UnderlierTenorPeriod","leg2UnderlyingAssetOrContractSubType","leg2UnderlyingAssetOrContractType","multiCurrencyIndicator","nonStandardTermIndicator","optionExerciseFrequencyMultiplier","optionExerciseFrequencyPeriod","optionPremiumAmount","optionPremiumCurrency","optionStrikePrice","optionStrikePriceCurrency","optionStrikePriceNotation","optionStyle","optionType","originalDisseminationIdentifier","otherPaymentAmount","otherPaymentCurrency","otherPaymentType","packageIndicator","packageTransactionPrice","packageTransactionPriceCurrency","packageTransactionPriceNotation","packageTransactionSpread","packageTransactionSpreadCurrency","packageTransactionSpreadNotation","platformID","postPricedSwapIndicator","price","priceCurrency","priceNotation","priceUnit","primeBrokerageTransactionIndicator","productCode","productCodeType","productName","returnTriggerType","seniority","standardContractSpecification","underlierExpirationDate","underlyingCreditIndexSeries","underlyingCreditIndexVersion","leg1QuantityFrequencyPeriod","leg1ResetFrequencyPeriod","leg2ResetFrequencyPeriod","optionExerciseEndDate","leg2FixedRate","upi","fisn","upiUnderlierName","notionalCapIndicator","otherPaymentCapIndicator"
"NEWT","","FX","False","Y","","True","","SDRFX94521155","2025-09-26T15:50:55Z","2025-09-26","EXTD","TRAD","2025-09-26T11:46:58Z","18.36523","USD/MXN","2025-09-26T11:46:58Z","2025-09-29","","","","","","","","","","","","","","","","350000","USD","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","99999999999999999999.99999","USD","","","","","","","","","","","","","","","MXN","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","18.36523","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZT6XCZMS9WH","NA/FX Fwd Nstd MXN USD","MXN USD","N",""
"NEWT","False","FX","False","N","","False","","SDRFX94521152","2025-09-26T15:42:49Z","2025-09-26","","TRAD","2025-09-26T15:41:57Z","5.359","USD/BRL","2025-09-26T15:41:57Z","2025-10-30","","","","","","","","","","","","","","","","190000","USD","","","","","","","","","","","","","","BRL","","","","","","","","","","","","","","","","","","","","","","","1000000","BRL","","","","","","","","","","","","","","","USD","","","","","","","","","","","","","","False","","","","","","","","","","","","","","False","","","","","","","XXXX","False","","","","","False","","","","","","","2025-10-30","","","","","","","","QZ95QCJX1JRX","NA/Fwd NDF BRL USD","BRL USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521104","2025-09-26T15:23:52Z","2025-09-26","EXTD","TRAD","2025-09-26T11:21:04Z","1.39485","USD/CAD","2025-09-26T11:21:04Z","2025-09-29","","","","","","","","","","","","","","","","5000000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","5000000","","","","","","","5000000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39485","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521103","2025-09-26T15:23:52Z","2025-09-26","EXTD","TRAD","2025-09-26T11:21:04Z","1.3950599","USD/CAD","2025-09-26T11:21:04Z","2025-09-26","","","","","","","","","","","","","","","","5000000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","5000000","","","","","","","5000000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3950599","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521101","2025-09-26T15:21:50Z","2025-09-26","EXTD","TRAD","2025-09-26T11:19:41Z","1.3400619","GBP/USD","2025-09-26T11:19:41Z","2025-09-29","","","","","","","","","","","","","","","","68000","USD","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","68000","","","","","","","68000","USD","2025-09-26","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3400619","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZS5ZGW6XH6Q","NA/Swaps GBP USD","GBP USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521102","2025-09-26T15:21:50Z","2025-09-26","EXTD","TRAD","2025-09-26T11:19:41Z","1.340158","GBP/USD","2025-09-26T11:19:41Z","2025-10-10","","","","","","","","","","","","","","","","68000","USD","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","68000","","","","","","","68000","USD","2025-09-26","","","","","","","","","","","","","","GBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.340158","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZS5ZGW6XH6Q","NA/Swaps GBP USD","GBP USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521095","2025-09-26T15:15:16Z","2025-09-26","EXTD","TRAD","2025-09-26T11:12:57Z","1.3937376","USD/CAD","2025-09-26T11:12:57Z","2025-10-17","","","","","","","","","","","","","","","","970000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","970000","","","","","","","970000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3937376","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521094","2025-09-26T15:15:16Z","2025-09-26","EXTD","TRAD","2025-09-26T11:12:57Z","1.39496","USD/CAD","2025-09-26T11:12:57Z","2025-09-29","","","","","","","","","","","","","","","","970000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","970000","","","","","","","970000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.39496","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521085","2025-09-26T15:07:53Z","2025-09-26","EXTD","TRAD","2025-09-26T11:05:37Z","1.3947475","USD/CAD","2025-09-26T11:05:37Z","2025-09-26","","","","","","","","","","","","","","","","3000000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","3000000","","","","","","","3000000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3947475","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
"NEWT","","FX","False","Y","","True","","SDRFX94521086","2025-09-26T15:07:53Z","2025-09-26","EXTD","TRAD","2025-09-26T11:05:37Z","1.3923871","USD/CAD","2025-09-26T11:05:37Z","2025-10-31","","","","","","","","","","","","","","","","3000000","USD","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","3000000","","","","","","","3000000","USD","2025-09-26","","","","","","","","","","","","","","CAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","1.3923871","USD","1","","","","","False","","","","","","","","","","","","","","","","","","","","QZ0DHNS97HJT","NA/Swaps CAD USD","CAD USD","N",""
