trade_id,cpty,product,notional,ccy,tenor_yrs,fixed_rate,pay_fixed,ccypair,side
IRST000001,UNKNOWN,IRS,2200000000.0,USD,5.0,,1.0,,
FXT000001,UNKNOWN,FXFWD,1000000.0,USD,,,,MXNUSD,
FXT000002,UNKNOWN,FXFWD,100000.0,USD,,,,MXNUSD,
FXT000003,UNKNOWN,FXFWD,1000000.0,USD,,,,MXNUSD,
FXT000004,UNKNOWN,FXFWD,100000.0,USD,,,,MXNUSD,
FXT000005,UNKNOWN,FXFWD,70000000.0,USD,,,,MXNUSD,
FXT000006,UNKNOWN,FXFWD,70000000.0,USD,,,,MXNUSD,
FXT000007,UNKNOWN,FXFWD,1000.0,USD,,,,MXNUSD,
FXT000008,UNKNOWN,FXFWD,85.0,USD,,,,GBPUSD,
FXT000009,UNKNOWN,FXFWD,85.0,USD,,,,GBPUSD,
FXT000010,UNKNOWN,FXFWD,500000.0,USD,,,,CADUSD,
FXT000011,UNKNOWN,FXFWD,1000000.0,USD,,,,CADUSD,
FXT000012,UNKNOWN,FXFWD,1000000.0,USD,,,,CADUSD,
FXT000013,UNKNOWN,FXFWD,4000000.0,USD,,,,CADUSD,
FXT000014,UNKNOWN,FXFWD,300000.0,USD,,,,MXNUSD,
FXT000015,UNKNOWN,FXFWD,400000.0,USD,,,,CADUSD,
FXT000016,UNKNOWN,FXFWD,400000.0,USD,,,,CADUSD,
FXT000017,UNKNOWN,FXFWD,260000.0,USD,,,,CADUSD,
FXT000018,UNKNOWN,FXFWD,260000.0,USD,,,,CADUSD,
FXT000019,UNKNOWN,FXFWD,200000.0,USD,,,,CADUSD,
FXT000020,UNKNOWN,FXFWD,200000.0,USD,,,,CADUSD,
FXT000021,UNKNOWN,FXFWD,25000.0,USD,,,,CADUSD,
FXT000022,UNKNOWN,FXFWD,25000.0,USD,,,,CADUSD,
FXT000023,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000024,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000025,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000026,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000027,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000028,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000029,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000030,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000031,UNKNOWN,FXFWD,1000000.0,USD,,,,GBPUSD,
FXT000032,UNKNOWN,FXFWD,1000000.0,USD,,,,GBPUSD,
FXT000033,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000034,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000035,UNKNOWN,FXFWD,500000.0,USD,,,,CADUSD,
FXT000036,UNKNOWN,FXFWD,10000000.0,USD,,,,CADUSD,
FXT000037,UNKNOWN,FXFWD,64000.0,USD,,,,GBPUSD,
FXT000038,UNKNOWN,FXFWD,64000.0,USD,,,,GBPUSD,
FXT000039,UNKNOWN,FXFWD,200000.0,USD,,,,CADUSD,
FXT000040,UNKNOWN,FXFWD,200000.0,USD,,,,CADUSD,
FXT000041,UNKNOWN,FXFWD,820000.0,USD,,,,CADUSD,
FXT000042,UNKNOWN,FXFWD,820000.0,USD,,,,CADUSD,
FXT000043,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000044,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000045,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000046,UNKNOWN,FXFWD,50000.0,USD,,,,CADUSD,
FXT000047,UNKNOWN,FXFWD,100000.0,USD,,,,MXNUSD,
FXT000048,UNKNOWN,FXFWD,3000000.0,USD,,,,CADUSD,
FXT000049,UNKNOWN,FXFWD,3000000.0,USD,,,,CADUSD,
FXT000050,UNKNOWN,FXFWD,970000.0,USD,,,,CADUSD,
FXT000051,UNKNOWN,FXFWD,970000.0,USD,,,,CADUSD,
